data,cota,vazoes,maxima,minima,media,Interpolado chuva
1990-01-01,1.096666666666667,4.289,4.289,1.8298,2.5556,Não
1990-01-02,1.086666666666667,4.0942,4.289,1.8298,2.5556,Não
1990-01-03,1.07,3.7179,4.289,1.8298,2.5556,Não
1990-01-04,1.0666666666666669,3.7179,4.289,1.8298,2.5556,Não
1990-01-05,1.0566666666666666,3.5363,4.289,1.8298,2.5556,Não
1990-01-06,1.05,3.3591,4.289,1.8298,2.5556,Não
1990-01-07,1.04,3.1862,4.289,1.8298,2.5556,Não
1990-01-08,1.02,2.8538,4.289,1.8298,2.5556,Não
1990-01-09,1.01,2.6941,4.289,1.8298,2.5556,Não
1990-01-10,1.03,3.0178,4.289,1.8298,2.5556,Não
1990-01-11,1.01,2.6941,4.289,1.8298,2.5556,Não
1990-01-12,0.98,2.2419,4.289,1.8298,2.5556,Não
1990-01-13,0.98,2.2419,4.289,1.8298,2.5556,Não
1990-01-14,0.99,2.3882,4.289,1.8298,2.5556,Não
1990-01-15,0.97,2.1001,4.289,1.8298,2.5556,Não
1990-01-16,0.97,2.1001,4.289,1.8298,2.5556,Não
1990-01-17,0.97,2.1001,4.289,1.8298,2.5556,Não
1990-01-18,0.97,2.1001,4.289,1.8298,2.5556,Não
1990-01-19,0.98,2.2419,4.289,1.8298,2.5556,Não
1990-01-20,0.98,2.2419,4.289,1.8298,2.5556,Não
1990-01-21,0.97,2.1001,4.289,1.8298,2.5556,Não
1990-01-22,0.96,1.9627,4.289,1.8298,2.5556,Não
1990-01-23,0.96,1.9627,4.289,1.8298,2.5556,Não
1990-01-24,0.98,2.2419,4.289,1.8298,2.5556,Não
1990-01-25,0.99,2.3882,4.289,1.8298,2.5556,Não
1990-01-26,0.97,2.1001,4.289,1.8298,2.5556,Não
1990-01-27,0.9666666666666668,2.1001,4.289,1.8298,2.5556,Não
1990-01-28,0.96,1.9627,4.289,1.8298,2.5556,Não
1990-01-29,0.9499999999999998,1.8298,4.289,1.8298,2.5556,Não
1990-01-30,0.9499999999999998,1.8298,4.289,1.8298,2.5556,Não
1990-01-31,0.9466666666666668,1.8298,4.289,1.8298,2.5556,Não
1990-02-01,0.94,1.7014,10.252,1.5774,3.7471,Não
1990-02-02,0.93,1.5774,10.252,1.5774,3.7471,Não
1990-02-03,0.9499999999999998,1.8298,10.252,1.5774,3.7471,Não
1990-02-04,0.99,2.3882,10.252,1.5774,3.7471,Não
1990-02-05,1.02,2.8538,10.252,1.5774,3.7471,Não
1990-02-06,1.0066666666666666,2.6941,10.252,1.5774,3.7471,Não
1990-02-07,1.0066666666666666,2.6941,10.252,1.5774,3.7471,Não
1990-02-08,1.0066666666666666,2.6941,10.252,1.5774,3.7471,Não
1990-02-09,0.99,2.3882,10.252,1.5774,3.7471,Não
1990-02-10,0.9966666666666668,2.539,10.252,1.5774,3.7471,Não
1990-02-11,1.04,3.1862,10.252,1.5774,3.7471,Não
1990-02-12,1.05,3.3591,10.252,1.5774,3.7471,Não
1990-02-13,1.06,3.5363,10.252,1.5774,3.7471,Não
1990-02-14,1.08,3.9039,10.252,1.5774,3.7471,Não
1990-02-15,1.34,10.252,10.252,1.5774,3.7471,Não
1990-02-16,1.29,8.8073,10.252,1.5774,3.7471,Não
1990-02-17,1.25,7.7278,10.252,1.5774,3.7471,Não
1990-02-18,1.2066666666666668,6.7163,10.252,1.5774,3.7471,Não
1990-02-19,1.16,5.5483,10.252,1.5774,3.7471,Não
1990-02-20,1.1266666666666667,4.8991,10.252,1.5774,3.7471,Não
1990-02-21,1.09,4.0942,10.252,1.5774,3.7471,Não
1990-02-22,1.05,3.3591,10.252,1.5774,3.7471,Não
1990-02-23,1.02,2.8538,10.252,1.5774,3.7471,Não
1990-02-24,1.0,2.539,10.252,1.5774,3.7471,Não
1990-02-25,1.01,2.6941,10.252,1.5774,3.7471,Não
1990-02-26,1.01,2.6941,10.252,1.5774,3.7471,Não
1990-02-27,1.01,2.6941,10.252,1.5774,3.7471,Não
1990-02-28,1.01,2.6941,10.252,1.5774,3.7471,Não
1990-03-01,1.096666666666667,4.289,12.4513,1.9627,3.7458,Não
1990-03-02,1.08,3.9039,12.4513,1.9627,3.7458,Não
1990-03-03,1.03,3.0178,12.4513,1.9627,3.7458,Não
1990-03-04,1.02,2.8538,12.4513,1.9627,3.7458,Não
1990-03-05,1.04,3.1862,12.4513,1.9627,3.7458,Não
1990-03-06,1.1266666666666667,4.8991,12.4513,1.9627,3.7458,Não
1990-03-07,1.096666666666667,4.289,12.4513,1.9627,3.7458,Não
1990-03-08,1.08,3.9039,12.4513,1.9627,3.7458,Não
1990-03-09,1.06,3.5363,12.4513,1.9627,3.7458,Não
1990-03-10,1.04,3.1862,12.4513,1.9627,3.7458,Não
1990-03-11,1.0366666666666668,3.1862,12.4513,1.9627,3.7458,Não
1990-03-12,1.0166666666666666,2.8538,12.4513,1.9627,3.7458,Não
1990-03-13,0.99,2.3882,12.4513,1.9627,3.7458,Não
1990-03-14,0.9566666666666668,1.9627,12.4513,1.9627,3.7458,Não
1990-03-15,0.98,2.2419,12.4513,1.9627,3.7458,Não
1990-03-16,0.98,2.2419,12.4513,1.9627,3.7458,Não
1990-03-17,0.9766666666666666,2.2419,12.4513,1.9627,3.7458,Não
1990-03-18,1.03,3.0178,12.4513,1.9627,3.7458,Não
1990-03-19,0.9766666666666666,2.2419,12.4513,1.9627,3.7458,Não
1990-03-20,0.9666666666666668,2.1001,12.4513,1.9627,3.7458,Não
1990-03-21,1.0366666666666668,3.1862,12.4513,1.9627,3.7458,Não
1990-03-22,1.0,2.539,12.4513,1.9627,3.7458,Não
1990-03-23,1.02,2.8538,12.4513,1.9627,3.7458,Não
1990-03-24,0.98,2.2419,12.4513,1.9627,3.7458,Não
1990-03-25,1.17,5.7733,12.4513,1.9627,3.7458,Não
1990-03-26,1.2066666666666668,6.7163,12.4513,1.9627,3.7458,Não
1990-03-27,1.4066666666666665,12.4513,12.4513,1.9627,3.7458,Não
1990-03-28,1.21,6.7163,12.4513,1.9627,3.7458,Não
1990-03-29,1.096666666666667,4.289,12.4513,1.9627,3.7458,Não
1990-03-30,1.086666666666667,4.0942,12.4513,1.9627,3.7458,Não
1990-03-31,1.07,3.7179,12.4513,1.9627,3.7458,Não
1990-04-01,1.04,3.1862,19.8031,2.1001,3.9629,Não
1990-04-02,1.01,2.6941,19.8031,2.1001,3.9629,Não
1990-04-03,0.9966666666666668,2.539,19.8031,2.1001,3.9629,Não
1990-04-04,0.98,2.2419,19.8031,2.1001,3.9629,Não
1990-04-05,1.106666666666667,4.488,19.8031,2.1001,3.9629,Não
1990-04-06,1.08,3.9039,19.8031,2.1001,3.9629,Não
1990-04-07,1.086666666666667,4.0942,19.8031,2.1001,3.9629,Não
1990-04-08,1.07,3.7179,19.8031,2.1001,3.9629,Não
1990-04-09,1.03,3.0178,19.8031,2.1001,3.9629,Não
1990-04-10,1.0,2.539,19.8031,2.1001,3.9629,Não
1990-04-11,1.61,19.8031,19.8031,2.1001,3.9629,Não
1990-04-12,1.33,9.9546,19.8031,2.1001,3.9629,Não
1990-04-13,1.143333333333333,5.3276,19.8031,2.1001,3.9629,Não
1990-04-14,1.07,3.7179,19.8031,2.1001,3.9629,Não
1990-04-15,1.03,3.0178,19.8031,2.1001,3.9629,Não
1990-04-16,1.02,2.8538,19.8031,2.1001,3.9629,Não
1990-04-17,1.01,2.6941,19.8031,2.1001,3.9629,Não
1990-04-18,1.0,2.539,19.8031,2.1001,3.9629,Não
1990-04-19,0.98,2.2419,19.8031,2.1001,3.9629,Não
1990-04-20,1.13,4.8991,19.8031,2.1001,3.9629,Não
1990-04-21,1.1133333333333335,4.6914,19.8031,2.1001,3.9629,Não
1990-04-22,1.0666666666666669,3.7179,19.8031,2.1001,3.9629,Não
1990-04-23,1.02,2.8538,19.8031,2.1001,3.9629,Não
1990-04-24,1.0066666666666666,2.6941,19.8031,2.1001,3.9629,Não
1990-04-25,1.0266666666666666,3.0178,19.8031,2.1001,3.9629,Não
1990-04-26,1.0266666666666666,3.0178,19.8031,2.1001,3.9629,Não
1990-04-27,1.01,2.6941,19.8031,2.1001,3.9629,Não
1990-04-28,0.99,2.3882,19.8031,2.1001,3.9629,Não
1990-04-29,0.9766666666666666,2.2419,19.8031,2.1001,3.9629,Não
1990-04-30,0.9666666666666668,2.1001,19.8031,2.1001,3.9629,Não
