data;vazao;nivel;chuva;Interpolado chuva;Interpolado vazao
01/01/2002;42,15014873;66,71428571;4,865359839;Sim;Sim
02/01/2002;31,82049393;61,09278351;2,6;Não;Sim
03/01/2002;43,02390839;58,32291667;0;Não;Sim
04/01/2002;23,12714828;35,30693069;4;Não;Sim
05/01/2002;16,14453016;65,84693878;13,8;Não;Sim
06/01/2002;13,4747797;48,98019802;1,2;Não;Sim
07/01/2002;11,91724841;41,42156863;0;Não;Sim
08/01/2002;10,5640643;44,56122449;1,2;Não;Sim
09/01/2002;10,10485039;32,91919192;0;Não;Sim
10/01/2002;9,396273203;36,56435644;0;Não;Sim
11/01/2002;9,166301221;33,40625;0,8;Não;Sim
12/01/2002;10,93789089;31,38541667;0;Não;Sim
13/01/2002;16,40722631;30,1875;0;Não;Sim
14/01/2002;13,89914464;29,03125;0;Não;Sim
15/01/2002;15,24521876;27,67368421;0;Não;Sim
16/01/2002;23,0491576;27,12631579;0;Não;Sim
17/01/2002;16,55052926;26,29885057;0;Não;Sim
18/01/2002;40,46400503;28,81521739;5,4;Não;Sim
19/01/2002;22,15740189;61,69230769;37,8;Não;Sim
20/01/2002;15,51546708;68,04210526;4,8;Não;Sim
21/01/2002;13,67825735;51,35483871;0,2;Não;Sim
22/01/2002;10,65707155;;0,2;Não;Sim
23/01/2002;9,687248408;;0;Sim;Sim
24/01/2002;9,140171749;;0,521666007;Sim;Sim
25/01/2002;20,28149589;;24,69492627;Sim;Sim
26/01/2002;13,22852228;;5,266593521;Sim;Sim
27/01/2002;18,92538092;;18,15606907;Sim;Sim
28/01/2002;12,94219542;;0,459071447;Sim;Sim
29/01/2002;10,53741608;;0,066327798;Sim;Sim
30/01/2002;11,90535075;;14,28585823;Sim;Sim
31/01/2002;13,47542318;;6,296386247;Sim;Sim
01/02/2002;10,06650312;;0,005170568;Sim;Sim
02/02/2002;11,27869368;;18,90666745;Sim;Sim
03/02/2002;19,95240444;;55,97380592;Sim;Sim
04/02/2002;12,01084133;;4,632182239;Sim;Sim
05/02/2002;10,2800068;;0;Sim;Sim
06/02/2002;12,81470404;;4,142883165;Sim;Sim
07/02/2002;10,30142574;;1,170044661;Sim;Sim
08/02/2002;9,220341293;;0,693305128;Sim;Sim
09/02/2002;9,747217591;;0,519663581;Sim;Sim
10/02/2002;8,768790564;;0;Sim;Sim
11/02/2002;8,317926742;;0;Sim;Sim
12/02/2002;7,537165172;;0;Sim;Sim
13/02/2002;11,34505301;;7,000714135;Sim;Sim
14/02/2002;8,260299644;;0;Sim;Sim
15/02/2002;7,483835494;;0;Sim;Sim
16/02/2002;10,45885495;;3,142920456;Sim;Sim
17/02/2002;9,174224663;;4,559197283;Sim;Sim
18/02/2002;26,61885719;;59,85985297;Sim;Sim
19/02/2002;17,23080489;;12,40528122;Sim;Sim
20/02/2002;13,43973085;;6,393707156;Sim;Sim
21/02/2002;10,84469421;;0,089934403;Sim;Sim
22/02/2002;11,22534653;;4,325928751;Sim;Sim
23/02/2002;13,35822524;;8,149280444;Sim;Sim
24/02/2002;11,23635911;;13,81171686;Sim;Sim
25/02/2002;17,19687083;;24,99971952;Sim;Sim
26/02/2002;12,49553777;;3,190406958;Sim;Sim
27/02/2002;11,10894384;;2,604719749;Sim;Sim
28/02/2002;12,81470404;;5,896470177;Sim;Sim
01/03/2002;10,04119088;;0,038745707;Sim;Sim
02/03/2002;8,592915246;;0;Sim;Sim
03/03/2002;9,055309729;;2,405985357;Sim;Sim
04/03/2002;13,73051878;;13,63879967;Sim;Sim
05/03/2002;19,90512151;;2,408484121;Sim;Sim
06/03/2002;10,95752676;;1,352975195;Sim;Sim
07/03/2002;9,687248408;;0,311012698;Sim;Sim
08/03/2002;8,564929139;;0;Sim;Sim
09/03/2002;7,815649685;;0;Sim;Sim
10/03/2002;12,85991352;;13,4348505;Sim;Sim
11/03/2002;10,99533554;;13,7165401;Sim;Sim
12/03/2002;9,089615209;;0,009148809;Sim;Sim
13/03/2002;8,367742962;;0;Sim;Sim
14/03/2002;7,811504999;;0,067481793;Sim;Sim
15/03/2002;8,762891852;;3,66952383;Sim;Sim
16/03/2002;8,116377112;;0,860417259;Sim;Sim
17/03/2002;7,811602418;;0,81204672;Sim;Sim
18/03/2002;6,943778262;;0;Sim;Sim
19/03/2002;6,729656745;;0;Sim;Sim
20/03/2002;6,737812558;;0,11696844;Sim;Sim
21/03/2002;6,737812558;;0,124466417;Sim;Sim
22/03/2002;19,66303058;;43,09593709;Sim;Sim
23/03/2002;9,95086772;;1,38807406;Sim;Sim
24/03/2002;10,7341231;;3,546845462;Sim;Sim
25/03/2002;8,670735267;;0,795514987;Sim;Sim
26/03/2002;7,426864722;;0;Sim;Sim
27/03/2002;7,37300961;;6,769344332;Sim;Sim
28/03/2002;6,810540858;;0,047780871;Sim;Sim
29/03/2002;6,677973425;;0;Sim;Sim
30/03/2002;6,517089179;;0;Sim;Sim
31/03/2002;6,284263083;;0;Sim;Sim
01/04/2002;6,154434582;;0;Sim;Sim
02/04/2002;5,957364864;;0;Sim;Sim
03/04/2002;5,846017661;;0;Sim;Sim
04/04/2002;5,957364864;;0,003746769;Sim;Sim
05/04/2002;5,829678342;;0,048707998;Sim;Sim
06/04/2002;6,006056613;;0;Sim;Sim
07/04/2002;6,264222732;;0,320242204;Sim;Sim
08/04/2002;8,19599819;;6,735753961;Sim;Sim
09/04/2002;8,990502067;;9,106292332;Sim;Sim
10/04/2002;7,107061881;;0,016962219;Sim;Sim
11/04/2002;7,595462424;;2,996280104;Sim;Sim
12/04/2002;6,053427094;;0;Sim;Sim
13/04/2002;5,799006273;;0,003310541;Sim;Sim
14/04/2002;5,702744614;;0;Sim;Sim
15/04/2002;5,75068847;;1,534770409;Sim;Sim
16/04/2002;5,545711992;;0,125591896;Sim;Sim
17/04/2002;5,357853163;;0,04847339;Sim;Sim
18/04/2002;5,221106893;;0;Sim;Sim
19/04/2002;5,311877445;;0;Sim;Sim
20/04/2002;5,176312058;;0,421254396;Sim;Sim
21/04/2002;5,053887782;;0;Sim;Sim
22/04/2002;5,233834694;;0;Sim;Sim
23/04/2002;5,221106893;;0;Sim;Sim
24/04/2002;5,266275674;;0,223298567;Sim;Sim
25/04/2002;5,098269308;;0;Sim;Sim
26/04/2002;5,110569021;;0;Sim;Sim
27/04/2002;5,078885738;;0;Sim;Sim
28/04/2002;4,95631462;;0;Sim;Sim
29/04/2002;4,911145839;;0,087627412;Sim;Sim
30/04/2002;4,734446355;;0;Sim;Sim
01/05/2002;4,734446355;;0;Sim;Sim
02/05/2002;4,571922828;;0;Sim;Sim
03/05/2002;4,691304757;;0;Sim;Sim
04/05/2002;4,734446355;;1,326356246;Sim;Sim
05/05/2002;8,453678178;;20,33836249;Sim;Sim
06/05/2002;7,500137386;;0,246266116;Sim;Sim
07/05/2002;5,52936362;;0;Sim;Sim
08/05/2002;4,97622388;;0;Sim;Sim
09/05/2002;4,898938826;;0;Sim;Sim
10/05/2002;5,990090798;;13,06023554;Sim;Sim
11/05/2002;5,818109234;;5,230174786;Sim;Sim
12/05/2002;5,29529851;;0,329110732;Sim;Sim
13/05/2002;5,973174395;;5,211619213;Sim;Sim
14/05/2002;4,923223061;;0,039913704;Sim;Sim
15/05/2002;6,2373495;;2,224029901;Sim;Sim
16/05/2002;5,166320774;;0,192744644;Sim;Sim
17/05/2002;4,845559158;;0;Sim;Sim
18/05/2002;4,683250517;;0,559481445;Sim;Sim
19/05/2002;4,60628117;;0;Sim;Sim
20/05/2002;4,60628117;;0;Sim;Sim
21/05/2002;4,529627529;;0;Sim;Sim
22/05/2002;5,447321746;;4,306569804;Sim;Sim
23/05/2002;7,904665334;;18,48301139;Sim;Sim
24/05/2002;5,254670516;;2,126316827;Sim;Sim
25/05/2002;4,845559158;;0,299433477;Sim;Sim
26/05/2002;4,648576468;;0,607386243;Sim;Sim
27/05/2002;4,60628117;;0,108656303;Sim;Sim
28/05/2002;4,691304757;;2,939817891;Sim;Sim
29/05/2002;4,529627529;;1,058188189;Sim;Sim
30/05/2002;4,529627529;;0;Sim;Sim
31/05/2002;4,402220497;;0;Sim;Sim
01/06/2002;4,351737742;;0;Sim;Sim
02/06/2002;4,351737742;;0,46011348;Sim;Sim
03/06/2002;4,428012534;;1,152714075;Sim;Sim
04/06/2002;4,428012534;;0,018545972;Sim;Sim
05/06/2002;4,453352738;;0;Sim;Sim
06/06/2002;4,351737742;;0;Sim;Sim
07/06/2002;4,351737742;;0;Sim;Sim
08/06/2002;4,351737742;;0;Sim;Sim
09/06/2002;4,301924154;;0;Sim;Sim
10/06/2002;4,176864108;;0,067234605;Sim;Sim
11/06/2002;4,176864108;;0;Sim;Sim
12/06/2002;4,101347013;;0;Sim;Sim
13/06/2002;4,101347013;;0;Sim;Sim
14/06/2002;4,052852078;;0;Sim;Sim
15/06/2002;3,977713831;;0;Sim;Sim
16/06/2002;4,026208766;;0;Sim;Sim
17/06/2002;4,026208766;;0,007493538;Sim;Sim
18/06/2002;4,026208766;;0;Sim;Sim
19/06/2002;3,977713831;;0;Sim;Sim
20/06/2002;3,902954432;;0;Sim;Sim
21/06/2002;3,855128664;;0;Sim;Sim
22/06/2002;3,929888063;;0,003746769;Sim;Sim
23/06/2002;3,929888063;;0;Sim;Sim
24/06/2002;3,977713831;;0,007493538;Sim;Sim
25/06/2002;3,929888063;;0;Sim;Sim
26/06/2002;3,929888063;;0,339395617;Sim;Sim
27/06/2002;3,929888063;;0,22905475;Sim;Sim
