data;vazao;nivel;chuva;Interpolado chuva;Interpolado vazão
13/11/2018;12,86904762;216,9047619;7,327854852;Sim;Não
14/11/2018;9,715625;194,5104167;0;Não;Não
15/11/2018;7,452083333;177,2916667;0;Não;Não
16/11/2018;9,189583333;189,8333333;0;Não;Não
17/11/2018;17,6625;245,9791667;41,6;Não;Não
18/11/2018;9,763541667;194,875;3,8;Não;Não
19/11/2018;7,536458333;177,8958333;0;Não;Não
20/11/2018;27,32708333;284,1875;38,8;Não;Não
21/11/2018;42,63020833;353,6875;18,6;Não;Não
22/11/2018;20,65625;263,6354167;4,2;Não;Não
23/11/2018;14,38645833;226,9583333;2;Não;Não
24/11/2018;11,43125;206,7708333;0;Não;Não
25/11/2018;9,569791667;193,6354167;0;Não;Não
26/11/2018;8,554166667;185,9583333;0;Não;Não
27/11/2018;8,628125;186,5625;4;Não;Não
28/11/2018;12,915625;216,5520833;0;Não;Não
29/11/2018;8,89375;188,5;0;Não;Não
30/11/2018;7,394791667;176,7291667;0;Não;Não
01/12/2018;7,998958333;181,65625;14;Não;Não
02/12/2018;10,05833333;196,1875;0,2;Não;Não
03/12/2018;39,91354167;344,8333333;69,4;Não;Não
04/12/2018;19,13333333;255,1770833;8,4;Não;Não
05/12/2018;13,78541667;222,9166667;0,8;Não;Não
06/12/2018;16,284375;238,2604167;11,6;Não;Não
07/12/2018;12,09791667;211,25;0,2;Não;Não
08/12/2018;46,971875;367,2395833;46,4;Não;Não
09/12/2018;31,71875;314,6458333;4,6;Não;Não
10/12/2018;20,28020833;262;0;Não;Não
11/12/2018;16,84270833;242,3958333;0;Não;Não
12/12/2018;15,675;235,3541667;0,4;Não;Não
13/12/2018;14,43958333;227,1979167;0;Não;Não
14/12/2018;14,74895833;228,65625;4,4;Não;Não
15/12/2018;10,58958333;200,8541667;0;Não;Não
16/12/2018;9,13125;190,3645833;0;Não;Não
17/12/2018;8,091666667;182,3854167;0;Não;Não
18/12/2018;7,295833333;176,0416667;0;Não;Não
19/12/2018;6,544791667;169,7604167;0;Não;Não
20/12/2018;6,448958333;168,8645833;0;Não;Não
21/12/2018;7,03125;173,71875;16;Não;Não
22/12/2018;5,820833333;163,4583333;6,6;Não;Não
23/12/2018;5,452083333;160,0833333;0;Não;Não
24/12/2018;8,946;188,96;7;Não;Não
25/12/2018;8,420310032;;44,6;Não;Sim
26/12/2018;10,49705889;;41,4;Não;Sim
27/12/2018;49,95309598;;38;Não;Sim
28/12/2018;57,55190513;;66,6;Não;Sim
29/12/2018;67,05116359;;6,2;Não;Sim
30/12/2018;38,0181149;;20,4;Não;Sim
31/12/2018;42,19113506;;1,4;Não;Sim
01/01/2019;27,02817905;;0,2;Não;Sim
02/01/2019;19,88575663;;0;Não;Sim
03/01/2019;16,62550993;;0;Não;Sim
04/01/2019;14,33859607;;0;Não;Sim
05/01/2019;13,0656536;;0,2;Não;Sim
06/01/2019;11,45804081;;0;Não;Sim
07/01/2019;10,52972909;;0;Não;Sim
08/01/2019;9,896245986;;0;Não;Sim
09/01/2019;9,290652073;;0;Não;Sim
10/01/2019;8,525691341;;0;Não;Sim
11/01/2019;8,135242634;;0;Não;Sim
12/01/2019;7,68503137;;0;Não;Sim
13/01/2019;7,324463942;;0;Não;Sim
14/01/2019;6,930827898;;0;Não;Sim
15/01/2019;6,557909542;;0;Não;Sim
16/01/2019;6,347943757;;0;Não;Sim
17/01/2019;6,05072464;;0;Não;Sim
18/01/2019;5,763864365;;0;Não;Sim
19/01/2019;5,480789052;;0;Não;Sim
20/01/2019;5,109663572;;0;Não;Sim
21/01/2019;4,948503876;;0;Não;Sim
22/01/2019;4,773997209;;0;Não;Sim
